district,year,crop,season,area,production,yield,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
JALANDHAR,1998,Sesamum,Kharif,1300,400,0.307692308,32.34416667,26.38291667,7,17,0
JALANDHAR,1999,Arhar (Tur),Kharif,600,400,0.666666667,32.2,27.14458333,7,0,0
JALANDHAR,2000,Arhar (Tur),Kharif,700,500,0.714285714,41.01583333,26.54375,7,0,0
JALANDHAR,2001,Sesamum,Kharif,1700,600,0.352941176,45.6625,26.32708333,7,17,0
JALANDHAR,2000,Sesamum,Kharif,1400,600,0.428571429,41.01583333,26.54375,7,17,0
JALANDHAR,2010,Arhar (Tur),Kharif,600,600,1,62.85666667,26.25416667,7,0,0
JALANDHAR,2012,Arhar (Tur),Kharif,600,600,1,44.08916667,25.59625,7,0,0
JALANDHAR,1999,Sesamum,Kharif,1300,700,0.538461538,32.2,27.14458333,7,17,0
JALANDHAR,2009,Arhar (Tur),Kharif,700,700,1,42.17916667,26.33958333,7,0,0
JALANDHAR,2007,Arhar (Tur),Kharif,900,900,1,50.2,26.05,7,0,0
JALANDHAR,2002,Arhar (Tur),Kharif,800,900,1.125,37.0775,27.14,7,0,0
JALANDHAR,2008,Arhar (Tur),Kharif,1000,1000,1,90.14333333,24.945,7,0,0
JALANDHAR,2003,Rapeseed &Mustard,Rabi,1000,1000,1,53.6325,25.81208333,7,15,1
JALANDHAR,2006,Rapeseed &Mustard,Rabi,1000,1000,1,63.88833333,26.04791667,7,15,1
JALANDHAR,2007,Rapeseed &Mustard,Rabi,1000,1000,1,50.2,26.05,7,15,1
JALANDHAR,2008,Rapeseed &Mustard,Rabi,1000,1000,1,90.14333333,24.945,7,15,1
JALANDHAR,2008,Linseed,Rabi,1000,1000,1,90.14333333,24.945,7,8,1
JALANDHAR,2009,Rapeseed &Mustard,Rabi,1000,1000,1,42.17916667,26.33958333,7,15,1
JALANDHAR,2010,Rapeseed &Mustard,Rabi,1000,1000,1,62.85666667,26.25416667,7,15,1
JALANDHAR,2001,Arhar (Tur),Kharif,1000,1100,1.1,45.6625,26.32708333,7,0,0
JALANDHAR,2006,Arhar (Tur),Kharif,1000,1100,1.1,63.88833333,26.04791667,7,0,0
JALANDHAR,2005,Arhar (Tur),Kharif,1200,1200,1,53.49083333,25.50916667,7,0,0
JALANDHAR,2003,Arhar (Tur),Kharif,1100,1200,1.090909091,53.6325,25.81208333,7,0,0
JALANDHAR,2004,Arhar (Tur),Kharif,1200,1400,1.166666667,45.565,26.64166667,7,0,0
JALANDHAR,2001,Cotton(lint),Kharif,1000,2000,2,45.6625,26.32708333,7,3,0
JALANDHAR,2002,Rapeseed &Mustard,Rabi,2000,2000,1,37.0775,27.14,7,15,1
JALANDHAR,2004,Rapeseed &Mustard,Rabi,2000,2000,1,45.565,26.64166667,7,15,1
JALANDHAR,2005,Rapeseed &Mustard,Rabi,1000,2000,2,53.49083333,25.50916667,7,15,1
JALANDHAR,2012,Rapeseed &Mustard,Rabi,1000,2000,2,44.08916667,25.59625,7,15,1
JALANDHAR,1998,Rapeseed &Mustard,Rabi,2000,3000,1.5,32.34416667,26.38291667,7,15,1
JALANDHAR,1999,Rapeseed &Mustard,Rabi,2000,3000,1.5,32.2,27.14458333,7,15,1
JALANDHAR,2009,Sugarcane,Whole year,700,4200,6,42.17916667,26.33958333,7,18,2
JALANDHAR,2012,Sunflower,Rabi,3500,5700,1.628571429,44.08916667,25.59625,7,19,1
JALANDHAR,2003,Sunflower,Rabi,5000,8000,1.6,53.6325,25.81208333,7,19,1
JALANDHAR,2012,Maize,Kharif,8000,27000,3.375,44.08916667,25.59625,7,9,0
JALANDHAR,1998,Maize,Kharif,13000,34000,2.615384615,32.34416667,26.38291667,7,9,0
JALANDHAR,2009,Maize,Kharif,10000,35000,3.5,42.17916667,26.33958333,7,9,0
JALANDHAR,2010,Maize,Kharif,9000,35000,3.888888889,62.85666667,26.25416667,7,9,0
JALANDHAR,2002,Maize,Kharif,13000,36000,2.769230769,37.0775,27.14,7,9,0
JALANDHAR,2004,Maize,Kharif,13000,38000,2.923076923,45.565,26.64166667,7,9,0
JALANDHAR,2006,Maize,Kharif,12000,38000,3.166666667,63.88833333,26.04791667,7,9,0
JALANDHAR,2005,Maize,Kharif,12000,40000,3.333333333,53.49083333,25.50916667,7,9,0
JALANDHAR,2008,Maize,Kharif,12000,41000,3.416666667,90.14333333,24.945,7,9,0
JALANDHAR,1999,Maize,Kharif,15000,44000,2.933333333,32.2,27.14458333,7,9,0
JALANDHAR,2003,Maize,Kharif,14000,48000,3.428571429,53.6325,25.81208333,7,9,0
JALANDHAR,2001,Maize,Kharif,16000,49000,3.0625,45.6625,26.32708333,7,9,0
JALANDHAR,2007,Maize,Kharif,13000,49000,3.769230769,50.2,26.05,7,9,0
JALANDHAR,2000,Maize,Kharif,16000,52000,3.25,41.01583333,26.54375,7,9,0
JALANDHAR,2004,Sugarcane,Whole year,11000,61000,5.545454545,45.565,26.64166667,7,18,2
JALANDHAR,2005,Sugarcane,Whole year,11000,63000,5.727272727,53.49083333,25.50916667,7,18,2
JALANDHAR,1998,Rice,Kharif,134000,436000,3.253731343,32.34416667,26.38291667,7,16,0
JALANDHAR,2001,Rice,Kharif,132000,445000,3.371212121,45.6625,26.32708333,7,16,0
JALANDHAR,1999,Rice,Kharif,133000,464000,3.488721805,32.2,27.14458333,7,16,0
JALANDHAR,2003,Rice,Kharif,138000,465000,3.369565217,53.6325,25.81208333,7,16,0
