,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
175,2009,300,300,28.33083333,27.18125,1,4,1
176,2000,1700,400,20.26666667,27.59791667,1,11,0
177,2002,1600,400,18.275,28.13958333,1,17,0
178,2010,600,400,42.1275,27.01166667,1,11,0
179,2009,500,400,28.33083333,27.18125,1,11,0
180,2001,700,400,30.40833333,27.29583333,1,4,1
181,2006,300,400,32.12666667,27.20625,1,4,1
182,2010,300,400,42.1275,27.01166667,1,4,1
183,2008,600,500,49.255,26.26333333,1,11,0
184,2004,600,500,27.58,27.69083333,1,4,1
185,2005,500,500,34.2425,26.375,1,4,1
186,2001,1600,600,30.40833333,27.29583333,1,11,0
187,2002,1200,600,18.275,28.13958333,1,11,0
188,2007,800,600,34.32166667,27.13208333,1,11,0
189,2002,700,600,18.275,28.13958333,1,5,0
190,2000,1100,600,20.26666667,27.59791667,1,4,1
191,2004,1200,800,27.58,27.69083333,1,11,0
192,2006,1000,800,32.12666667,27.20625,1,11,0
193,2003,900,800,37.2525,26.53791667,1,4,1
194,2002,700,800,18.275,28.13958333,1,4,1
195,2005,1200,900,34.2425,26.375,1,11,0
196,2001,700,900,30.40833333,27.29583333,1,15,1
197,1999,2200,1000,16.4825,28.14166667,1,11,0
198,1998,1000,1000,27.87583333,27.08041667,1,1,0
199,1998,1000,1000,27.87583333,27.08041667,1,5,0
200,1999,1000,1000,16.4825,28.14166667,1,1,0
201,1999,1000,1000,16.4825,28.14166667,1,5,0
202,2000,1000,1000,20.26666667,27.59791667,1,1,0
203,2002,1000,1000,18.275,28.13958333,1,1,0
204,2003,1000,1000,37.2525,26.53791667,1,1,0
205,2004,1000,1000,27.58,27.69083333,1,1,0
206,2005,1000,1000,34.2425,26.375,1,1,0
207,2006,1000,1000,32.12666667,27.20625,1,1,0
208,2007,1000,1000,34.32166667,27.13208333,1,1,0
209,1999,1100,1000,16.4825,28.14166667,1,4,1
210,2003,1800,1100,37.2525,26.53791667,1,11,0
211,1998,2500,1300,27.87583333,27.08041667,1,11,2
212,2002,1000,2000,18.275,28.13958333,1,9,0
213,2012,2000,2000,32.535,26.11958333,1,15,1
214,1998,3800,2800,27.87583333,27.08041667,1,4,1
215,2000,1000,3000,20.26666667,27.59791667,1,9,0
216,2003,1000,3000,37.2525,26.53791667,1,9,0
217,2007,2000,3000,34.32166667,27.13208333,1,15,1
218,2009,2000,3000,28.33083333,27.18125,1,15,1
219,2010,2000,3000,42.1275,27.01166667,1,15,1
220,2010,4100,3300,42.1275,27.01166667,1,6,2
221,2007,4700,3600,34.32166667,27.13208333,1,6,2
222,2009,4700,3700,28.33083333,27.18125,1,6,2
223,2008,3000,4000,49.255,26.26333333,1,15,1
224,2005,2000,5000,34.2425,26.375,1,2,1
225,2006,7200,5500,32.12666667,27.20625,1,6,2
226,2008,7500,5700,49.255,26.26333333,1,6,2
227,2007,2000,6000,34.32166667,27.13208333,1,2,1
228,2009,2000,6000,28.33083333,27.18125,1,2,1
229,2005,8100,6200,34.2425,26.375,1,6,2
230,2006,2000,7000,32.12666667,27.20625,1,2,1
231,2008,2000,7000,49.255,26.26333333,1,2,1
232,2010,2000,7000,42.1275,27.01166667,1,2,1
233,2012,2000,7000,32.535,26.11958333,1,2,1
234,2004,9600,7200,27.58,27.69083333,1,6,2
235,2004,9000,8000,27.58,27.69083333,1,15,1
236,1999,7000,8000,16.4825,28.14166667,1,15,1
237,2005,7000,8000,34.2425,26.375,1,15,1
238,2006,6000,8000,32.12666667,27.20625,1,15,1
239,2001,3000,8000,30.40833333,27.29583333,1,2,1
240,1998,12000,9000,27.87583333,27.08041667,1,15,1
241,2004,3000,9000,27.58,27.69083333,1,2,1
242,2002,11100,9400,18.275,28.13958333,1,6,2
243,2002,3000,10000,18.275,28.13958333,1,2,1
244,2003,3000,10000,37.2525,26.53791667,1,2,1
245,2003,9000,11000,37.2525,26.53791667,1,15,1
246,2003,14700,11900,37.2525,26.53791667,1,6,2
247,2002,13000,12000,18.275,28.13958333,1,15,1
248,1999,4000,13000,16.4825,28.14166667,1,2,1
249,2000,5000,14000,20.26666667,27.59791667,1,2,1
250,1998,5000,17000,27.87583333,27.08041667,1,2,1
251,2003,1000,50000,37.2525,26.53791667,1,18,2
252,2002,1000,60000,18.275,28.13958333,1,18,2
253,2001,1000,70000,30.40833333,27.29583333,1,18,2
254,1998,170000,173000,27.87583333,27.08041667,1,3,0
255,1999,151000,279000,16.4825,28.14166667,1,3,0
256,1998,84000,287000,27.87583333,27.08041667,1,16,0
257,2001,82000,307000,30.40833333,27.29583333,1,16,0
258,2000,147000,331000,20.26666667,27.59791667,1,3,0
259,2002,125000,347000,18.275,28.13958333,1,3,0
260,2000,99000,350000,20.26666667,27.59791667,1,16,0
261,2006,87000,358000,32.12666667,27.20625,1,16,0
262,2002,107000,367000,18.275,28.13958333,1,16,0
263,2007,86000,368000,34.32166667,27.13208333,1,16,0
264,2001,162000,375000,30.40833333,27.29583333,1,3,0
265,2005,95000,385000,34.2425,26.375,1,16,0
