district_encoded,year,crop_encoded,season_encoded,area,AvgRain,AvgTemp
6,2002,0,0,100,42.815,26.33125
5,2010,4,1,100,79.73166667,24.80083333
2,2007,21,1,117000,36.405,26.8725
4,2009,11,0,1600,29.8275,27.00041667
2,2005,18,2,1000,40.05083333,26.1
4,2006,4,1,1300,43.10666667,26.76416667
7,2001,8,1,100,45.6625,26.32708333
10,2008,17,0,200,50.12666667,26.17208333
6,1998,18,2,13000,30.60083333,25.81583333
11,2012,21,1,176000,35.53166667,25.87291667
5,2012,18,2,25000,53.06583333,24.24916667
12,2000,2,1,4000,20.26666667,27.59791667
14,2000,11,0,300,45.66416667,26.55958333
16,2012,3,0,11000,36.13833333,25.83791667
8,1998,11,2,200,25.0475,26.83791667
10,2003,4,1,700,42.08166667,26.37916667
8,2004,18,2,5000,39.37333333,27.00041667
4,2007,16,0,243000,36.405,26.8725
13,2006,16,0,53000,63.88833333,26.04791667
4,2001,15,1,1100,32.3675,27.11625
16,2003,4,1,600,47.79916667,26.00041667
5,1998,14,1,400,24.57916667,25.52208333
14,2003,21,1,266000,59.54583333,25.72875
4,2004,21,1,386000,31.17583333,27.50583333
3,2002,4,1,100,40.61083333,27.21166667
4,1998,2,1,4000,23.385,27.16416667
14,2003,2,1,2000,59.54583333,25.72875
15,2012,21,1,63000,69.6325,21.46166667
15,2012,6,2,100,69.6325,21.46166667
5,2012,20,0,1600,53.06583333,24.24916667
14,2002,0,0,200,34.91833333,27.35083333
11,2005,4,1,200,43.11083333,25.93125
16,2000,3,0,21000,31.74666667,26.96208333
7,2008,11,0,100,90.14333333,24.945
9,1998,9,0,3000,34.615,26.41208333
11,1998,2,1,1000,27.81583333,26.79958333
3,1999,21,1,86000,33.88083333,27.225
15,2008,4,1,200,125.5383333,20.89958333
1,2000,3,0,147000,20.26666667,27.59791667
5,2004,21,1,227000,50.8525,25.30625
0,2008,10,1,100,78.35166667,25.32708333
16,1998,11,2,6000,38.12583333,26.315
14,2001,15,1,200,45.4125,26.4175
0,2012,18,2,4000,43.16083333,25.68208333
7,2006,11,0,100,63.88833333,26.04791667
16,2009,18,2,100,35.63916667,26.74916667
1,2004,2,1,3000,27.58,27.69083333
10,2010,1,0,1000,45.66666667,26.88875
5,2007,17,0,900,71.8,24.26666667
16,2006,21,1,396000,35.8025,26.84625
0,2006,15,1,1000,70.41083333,25.94375
3,1999,15,1,1000,33.88083333,27.225
9,1998,15,1,2000,34.615,26.41208333
1,2000,12,0,100,20.26666667,27.59791667
16,1999,21,1,394000,21.91083333,27.63708333
14,2004,18,2,2000,46.67416667,26.60041667
0,2005,11,0,1500,52.91583333,25.56041667
0,1998,14,1,400,21.14916667,27.10916667
5,2001,21,1,217000,53.46,24.95208333
0,2012,6,2,300,43.16083333,25.68208333
14,2008,2,1,1000,81.345,25.10541667
7,2012,18,2,10000,44.08916667,25.59625
2,1999,2,1,1000,19.7675,27.97625
13,2007,16,0,50000,50.2,26.05
4,2007,0,0,200,36.405,26.8725
5,2009,18,2,1900,43.18583333,25.03
12,2004,5,0,200,27.58,27.69083333
1,2005,16,0,95000,34.2425,26.375
15,2001,21,1,88000,72.93916667,21.92958333
